Sony опубликовала размеры некоторых игр для PlayStation 5,https://stopgame.ru/newsdata/44874,19 сентября 2020г., 22
Fortnite: Save the World для macOS скоро станет неиграбельной. Epic вернёт покупателям деньги,https://stopgame.ru/newsdata/44873,19 сентября 2020г., 79
Научно-фантастическое приключение JETT: The Far Shore отложили на 2021 год,https://stopgame.ru/newsdata/44872,19 сентября 2020г., 4
Square Enix показала отрывок аниме-адаптации культовой The World Ends with You,https://stopgame.ru/newsdata/44871,19 сентября 2020г., 12
Мобильную версию Stardew Valley скачали более 2 миллионов раз,https://stopgame.ru/newsdata/44870,19 сентября 2020г., 8
"На PlayStation 5 выйдет ремастер Marvel’s Spider-Man, но владельцам оригинала его, возможно, не дадут бесплатно",https://stopgame.ru/newsdata/44869,19 сентября 2020г., 42
"Кажется, за предзаказ ремейка Demon’s Souls дадут оружие, которого не было в оригинале",https://stopgame.ru/newsdata/44868,19 сентября 2020г., 14
"Кибергениталии и сюжетная кампания короче, чем в The Witcher 3, — ещё кое-что о Cyberpunk 2077",https://stopgame.ru/newsdata/44867,18 сентября 2020г., 104
Трейлер Gears Tactics для Xbox. Игра получит свежий контент (на PC тоже),https://stopgame.ru/newsdata/44866,18 сентября 2020г., 4
Observer: System Redux стартует на PC и некстгене в ноябре,,18 сентября 2020г., 9
Cyberpunk 2077: системные требования и два свежих трейлера,https://stopgame.ru/newsdata/44864,18 сентября 2020г., 68
"Босс PlayStation: в Sony отказались от создания бюджетной модели PS5, посчитав идею неудачной",https://stopgame.ru/newsdata/44863,18 сентября 2020г., 39
"Мишель Ансель, создатель Rayman, объявил о завершении карьеры. С Beyond Good & Evil 2 всё хорошо, уверяет Ubisoft",https://stopgame.ru/newsdata/44861,18 сентября 2020г., 23
Bandai Namco приобрела студию-разработчика Unknown 9: Awakening,https://stopgame.ru/newsdata/44860,18 сентября 2020г.,
Техноблогер протестировал Crysis Remastered на «максималках» с помощью RTX TITAN и RTX 3080,https://stopgame.ru/newsdata/44859,18 сентября 2020г., 32
